collecteur,aide,nb_aides_2016,montant_2016,nb_aides_2017,montant_2017,nb_aides_2018,montant_2018,nb_aides_2019,montant_2019,nb_aides_2020,montant_2020
ADAGP,création,83,935320,114,1229206,130,1191499,118,1110250,110,1142247
ADAGP,éducation artistique et culturelle,1,10000,7,281361,7,273417,9,30500,7,237986
ADAGP,formation des artistes,11,95301,16,114355,15,135122,9,335321,13,768495
ADAMI,création,627,8473465,673,8671258,699,9032100,724,9262514,534,7635259
ADAMI,diffusion du spectacle vivant,497,7697689,578,6911086,551,6828255,561,6760696,381,5665735
ADAMI,éducation artistique et culturelle,71,823750,73,942900,65,888650,58,827700,50,651750
ADAMI,formation des artistes,44,768170,50,1032670,48,753732,42,829939,41,783000
ANGOA,création,619,4181120,682,4281428,762,4357151,777,3973964,790,2611707
ARP,création,8,253732,10,572240,12,588192,17,648999,14,400532
ARP,éducation artistique et culturelle,2,3273,1,10534,1,14193,1,6308,,
CFC,création,26,326800,21,322000,6,52000,,,,
CFC,diffusion du spectacle vivant,,,2,251820,8,448600,,,,
CFC,éducation artistique et culturelle,1,15000,2,65000,4,41000,,,,
CFC,formation des artistes,1,11380,,,4,29640,,,,
PROCIREP,création,651,9561210,715,10442465,804,11437650,816,10980030,829,10375840
PROCIREP,éducation artistique et culturelle,,,1,7000,1,2500,,,,
PROCIREP,formation des artistes,9,206000,11,286000,10,240000,13,279000,12,267000
SACD,création,127,2374945,158,1804871,155,1707858,144,2496478,107,1846770
SACD,diffusion du spectacle vivant,179,1430655,260,2829899,237,2871506,273,2334116,130,1173533
SACD,éducation artistique et culturelle,7,189000,11,433000,13,222000,11,212000,9,158100
SACD,formation des artistes,30,411506,24,381604,22,477072,17,385924,13,391885
SACEM,création,852,9982861,830,10161787,767,9958334,946,10947389,986,11161483
SACEM,diffusion du spectacle vivant,932,9564935,1014,9658132,1226,11139347,1340,12524254,1174,10934890
SACEM,éducation artistique et culturelle,,,112,718905,191,1091378,256,861159,219,898500
SACEM,formation des artistes,141,1649551,124,1612584,137,1565226,147,1641268,92,1549006
SAIF,création,76,240800,73,274395,91,362229,91,499446,128,739100
SAIF,éducation artistique et culturelle,,,2,4500,9,36400,7,23500,6,24500
SAIF,formation des artistes,3,20525,8,26810,1,25045,3,34405,3,30544
SAJE,création,39,281789,49,543385,89,1235678,91,1113878,29,300028
SAJE,formation des artistes,,,,,7,37194,1,6000,1,3000
SCAM,création,308,1651682,307,1608214,305,1672118,315,1646698,303,1621891
SCAM,éducation artistique et culturelle,,,2,17000,1,15000,4,7500,4,13117
SCAM,formation des artistes,6,43345,7,52855,8,57354,11,64854,13,55354
SCELF,création,8,46891,6,28500,6,29000,8,55000,,
SCELF,diffusion du spectacle vivant,1,4000,4,9500,4,13000,4,14000,,
SCELF,éducation artistique et culturelle,1,12000,2,11200,1,8000,2,20000,,
SCPP,création,859,11873829,1043,12783827,1009,15705023,1172,17268192,1396,21031647
SCPP,diffusion du spectacle vivant,72,628467,67,847640,69,1113096,42,941862,40,726560
SCPP,formation des artistes,8,218960,8,190430,9,222230,11,220102,10,218870
SEAM,création,1,8000,,,,,4,257000,,
SEAM,diffusion du spectacle vivant,1,17000,2,21141,7,45487,4,37264,,
SEAM,éducation artistique et culturelle,96,410914,118,458777,148,603040,153,287198,,
SEAM,formation des artistes,2,5318,4,10913,3,9345,6,114417,,
SOFIA,création,253,2876040,301,3548519,222,2267529,285,2998203,288,2923970
SOFIA,diffusion du spectacle vivant,,,,,,,,,20,602000
SOFIA,éducation artistique et culturelle,1,65000,11,217500,87,760800,72,539715,10,369720
SOFIA,formation des artistes,3,334945,3,337182,27,901165,13,587204,25,296315
SPEDIDAM,création,139,469624,264,1007264,274,683852,303,655555,,
SPEDIDAM,diffusion du spectacle vivant,2054,18794713,2525,26851595,2346,15929530,2431,17548398,,
SPEDIDAM,formation des artistes,30,638050,27,600780,25,545950,28,587385,,
SPPF,création,708,5813000,699,6080800,761,6492170,833,6795500,,
SPPF,diffusion du spectacle vivant,186,500372,156,364408,162,393408,154,372820,,
SPPF,formation des artistes,37,60300,34,55500,28,46200,30,49400,,
