"collecteur","oeuvre","date_creation","nb_membres","nb_membres_annee","libelle","URL","membres"
"ADAGP","Arts graphiques","1953",235000,"2021","Société Des Auteurs Dans Les Arts Graphiques Et Plastiques","https://www.adagp.fr/","architecte,artiste plasticien,designer,dessinateur,graphiste,illustrateur,peintre,photographe,sculpteur,vidéaste"
"ADAMI","Spectacle vivant","1955",85460,"2020","Société Civile Pour L'administration Des Droits Des Artistes Et Musiciens Interprètes","https://www.adami.fr/","artiste interprète,chanteur,comédien,danseur,musicien"
"ANGOA","Retransmission télévisée","1981",700,"2020","Agence Nationale De Gestion Des Œuvres Audiovisuelles","https://www.procirep.fr/Missions.html","producteur dans la retransmission de programmes de télévision"
"ARP","Film","1987",220,"2018","Société Civile Des Auteurs, Réalisateurs Et Producteurs","https://larp.fr/","producteur de cinéma,réalisateur de cinéma,scénariste de cinéma"
"CFC","Livre","1984",4200,"2020","Centre Français D'exploitation Du Droit De Copie","https://www.cfcopies.com/","auteur de presse et livre,éditeur de presse et livre"
"PROCIREP","Film","1967",750,"2020","Société Des Producteurs De Cinéma Et De Télévision","http://www.procirep.fr/","producteur d'œuvres cinématographiques"
"SACD","Spectacle vivant","1777",60000,"2018","Société Des Auteurs Et Compositeurs Dramatiques","https://www.sacd.fr/","auteur de théâtre,chorégraphe,compositeur,metteur en scène,réalisateur,scénariste,youtuber"
"SACEM","Musique","1851",182520,"2021","Société Des Auteurs, Compositeurs Et Éditeurs De Musique","https://www.sacem.fr/","arrangeur,auteur,auteur de doublage sous titrage,auteurs réalisateur,compositeur,éditeur"
"SAIF","Arts graphiques","1999",7000,"2019","Société Des Auteurs Des Arts Visuels Et De L'image Fixe","https://www.saif.fr/","architecte,artiste plasticien,designer,dessinateur,graphiste,illustrateur,peintre,photographe,sculpteur"
"SAJE","Jeux télévisés","1998",300,"2021","Société Des Auteurs De Jeux","https://la-saje.org/","adaptateur de jeu télévisé,auteur de jeu télévisé"
"SCAM","Documentaire","1981",47957,"2020","Société Civile Des Auteurs Multimedia","https://www.scam.fr/","auteur multimédia,dessinateur,documentariste,écrivain,journaliste,musicien,photographe,reporter,traducteur,vidéaste"
"SCELF","Livre","1960",300,"2021","Société Civile Des Editeurs De Langue Française","https://www.scelf.fr/","éditeur littéraire"
"SCPP","Musique","1985",3500,"2021","Société Civile Des Producteurs Phonographiques","https://www.scpp.fr/","producteur de musique"
"SEAM","Partition musicale","1988",50000,"2021","Société Des Éditeurs Et Auteurs De Musique","http://www.seamfrance.fr/","auteur de musique,compositeur de musique,éditeur de musique"
"SOFIA","Livre","1999",69300,"2021","Société Française Des Intérêts Des Auteurs De L’écrit","https://www.la-sofia.org/","auteur de livre,éditeur de livre"
"SPEDIDAM","Spectacle vivant","1959",110000,"2020","Société De Perception Et De Distribution Des Droits Des Artistes-Interprètes","https://spedidam.fr/","artiste interprète,chanteur,comédien,danseur,musicien"
"SPPF","Musique","1986",2000,"2021","Société Civile Des Producteurs De Phonogrammes En France","https://www.sppf.com/","producteur de musique indépendant"
